ID,GENDER_ACROSSTIME_T1T2T3T4,MPACS_TOTAL_IMP_T1,MPACS_TOTAL_IMP_T2,MPACS_TOTAL_IMP_T3,MPACS_TOTAL_IMP_T4,MPACS_TOTAL_IMP_T5,MPACS_TOTAL_IMP_T6,SPPA_SWORTH_IMP_T1,SPPA_SWORTH_IMP_T2,SPPA_SWORTH_IMP_T3,SPPA_SWORTH_IMP_T4,SPPA_SWORTH_IMP_T5,SPPA_SWORTH_IMP_T6
1273,1,50,53,55,59,62,NA,3.4,3,3.2,2.8,2.4,NA
1274,1,78,78,NA,NA,NA,NA,3.8,4,NA,NA,NA,NA
1275,1,81,83,85,88,62,63,3.2,3.4,3.2,3.8,2,2.6
1276,1,53,55,NA,NA,NA,NA,3.8,3.4,NA,NA,NA,NA
1277,1,74,85.26315789,78,81,85,NA,3.4,3.8,3.6,3.8,4,NA
1278,1,60,NA,59,54,NA,NA,3.6,2.6,3.6,3,NA,NA
1279,1,75,66,65,69,NA,NA,3.8,2.8,3,3,NA,NA
1280,1,87,81,75,66,NA,NA,3.2,3.6,NA,3.2,NA,NA
1281,2,80,80,77,79,74,61,3.4,3.4,3,3.2,3,2.75
1282,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
1283,1,90,56.47058824,58,61,NA,NA,4,2.4,2.5,2.2,NA,NA
1284,1,NA,71.11111111,69,66.31578947,NA,NA,NA,3.8,4,3.6,NA,NA
1285,2,89,94.73684211,90,91,NA,NA,3.8,3.8,3.666666667,3.4,NA,NA
1286,2,80,91,91,98,99,95.78947368,3.6,4,3.8,NA,2.6,4
1287,1,70,82,92,87,NA,NA,4,3.2,3.6,3,NA,NA
1288,2,68,74,74,86,NA,NA,3.2,3.2,3,3,NA,NA
1289,1,84.44444444,81.11111111,NA,NA,NA,NA,4,4,NA,NA,NA,NA
1290,1,63,61,60,60,NA,NA,2.2,2.4,2.6,2.6,NA,NA
1291,1,83,74,57,37,60,62,3.8,3,1.6,1.2,2,2.6
1292,1,70,67,77.89473684,71,91,95,3.6,3.8,3.6,3.2,4,4
1293,1,80,61,74,NA,NA,NA,4,3.4,4,2.4,NA,NA
1294,1,62,56,62,58,NA,NA,2.2,2,2.2,2,NA,NA
1295,2,67,NA,60,60,NA,NA,3,NA,3.6,2.8,NA,NA
1296,6,56,60,56.84210526,61.05263158,NA,NA,3.25,2.6,3,2.4,NA,NA
1297,1,62.10526316,63,59.44444444,60,62.22222222,NA,3.4,3,2.8,2.2,2.4,NA
1298,2,78,92,89,90,97,88,3.8,4,3.8,3.4,4,3.8
1299,1,61,78.82352941,76,64,72,NA,2.8,3.6,3.4,3.4,3.6,NA
1300,2,NA,75,83,81,60,NA,NA,3.8,3.8,4,2.4,NA
1301,2,59,57,54,65,60,59,2,1.6,1.8,1.8,3,2.8
1302,2,50.58823529,59,64,63,57,NA,3.4,3.4,3.333333333,3,3,NA
1303,1,71.76470588,66.66666667,61,57,60,62.5,3.6,2.8,2.8,2.2,2.2,2.2
1304,2,NA,80,80,81,NA,89,NA,4,4,4,NA,4
1305,2,63,30,NA,NA,NA,NA,2.8,2.6,NA,NA,NA,NA
1306,1,92.5,71.57894737,NA,NA,NA,62,3.2,2.8,NA,NA,NA,2.8
1307,2,78.57142857,82,NA,NA,NA,NA,4,4,NA,NA,NA,NA
1308,1,60,60,60,63,NA,NA,3.8,3.8,2.6,2.2,NA,NA
1309,2,82,92,82,76,87,74,3.8,4,3.8,3,3,2.8
1310,2,72,72,68,70,61,58,3.4,4,3.4,3.2,2.75,2.4
1311,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,2.4
1312,2,64,64.5,61,68,60,56,3,3,3,3,2.8,2.4
1313,2,NA,61,53,49,33,41,NA,3.4,4,2,2.8,1.8
1314,1,59,78.94736842,64,NA,55,NA,2.6,3,2,2.6,2.8,NA
1315,2,76,60,77,75,51,63,4,4,4,3.8,4,4
1316,1,80,76.47058824,NA,NA,44,NA,3.75,2.4,NA,NA,4,NA
1317,2,61,NA,NA,NA,NA,NA,1,1.6,NA,NA,NA,NA
1318,1,73,70,NA,NA,NA,NA,3.8,3.4,NA,NA,NA,NA
1319,1,61.05263158,NA,NA,NA,34,NA,NA,3.1,NA,NA,3.8,NA
1320,1,92,84,NA,NA,NA,NA,3.6,3.4,NA,NA,NA,NA
1321,2,69.23076923,73.15789474,59,68,80,75,3.4,4,3.4,4,3.2,3.2
1322,1,NA,56.84210526,61,63,NA,NA,NA,2.8,3.2,3.2,NA,NA
1323,2,88,75,81,55,63,68,3.4,3.6,3.6,3.6,3.2,3.8
1324,1,87.36842105,77.77777778,NA,60,NA,NA,3.6,3.8,NA,3.4,NA,NA
1325,1,73,72,61,67,NA,NA,1.4,2.6,2.4,2.8,NA,NA
1326,2,88.23529412,69,70,89,73,75.78947368,3.4,2,2,2.4,3,1.8
1327,1,47.36842105,53,NA,67,59,60,2.8,2.6,NA,3,2.4,2.6
1328,4,70.52631579,61.05263158,53.68421053,NA,NA,NA,3.4,2.2,2.2,3,2.6,NA
1329,2,82.10526316,83,83,87.36842105,NA,NA,3.8,3.6,3.4,3.8,NA,NA
1330,2,62.10526316,66,NA,NA,NA,NA,3.9,3.6,NA,NA,NA,NA
1331,2,42,35,36,50,61,NA,1,1.4,2.2,2.8,2.8,NA
1332,1,77.89473684,80,72,NA,NA,NA,3.6,3.6,NA,NA,NA,NA
1333,2,30,29,34,57,NA,NA,1.25,1.2,2.5,2.6,NA,NA
1334,1,78.94736842,76.66666667,86.31578947,71,NA,86,4,3.4,3.4,3.8,NA,3.6
1335,1,70.52631579,78,78,73,NA,NA,3.2,4,3.2,3.2,NA,NA
1336,4,69,84,100,89.09090909,NA,NA,3.4,3,4,4,NA,NA
1337,4,80,96,93,47,NA,NA,4,3.8,4,2,NA,NA
1338,2,95,90,92,86,95,NA,3.8,4,3.6,3.8,3.6,NA
